File-name,z-axis-feat1,y-axis-feat1,x-axis-feat1,EDA-feat1,z-axis-feat2,y-axis-feat2,x-axis-feat2,EDA-feat2,z-axis-feat3,y-axis-feat3,x-axis-feat3,EDA-feat3,z-axis-feat4,y-axis-feat4,x-axis-feat4,EDA-feat4,z-axis-feat5,y-axis-feat5,x-axis-feat5,EDA-feat5,z-axis-feat6,y-axis-feat6,x-axis-feat6,EDA-feat6,original_emotion_label,numeric_emotion_label
P01_Af_01,0.0167375886524823,-0.00347517730496454,1.0090780141844,0.121482269503546,0.168694552600257,0.198433097093932,0.243201564577967,0.00113138876026282,0.108642857142857,0.124571428571429,0.213428571428572,0.000607142857142858,0.644021134460102,0.62777545881099,0.877578940739705,0.536635043998332,0.111942446043165,0.146618705035971,0.17568345323741,0.000597122302158274,0.663580680689951,0.738882309368819,0.722377972947161,0.527778181232384,Af,1
P01_Af_02,-0.0128,-0.0312,1.0118,0.11838,0.22032611275016,0.227170918611134,0.346425848756799,0.0017909988184465,0.18030303030303,0.18969696969697,0.362222222222222,0.000282828282828282,0.818346169014866,0.835040729934667,1.04559813744301,0.157916510002841,0.201530612244898,0.216734693877551,0.298469387755102,0.000285714285714285,0.914692360925122,0.954060031990948,0.861567890578039,0.159527902962053,Af,1
P01_Af_03,0.0257758620689655,-0.00568965517241379,1.00137931034483,0.122310344827586,0.202270378076169,0.214797069601625,0.266660169835901,0.00221227324793712,0.151391304347826,0.164869565217391,0.282173913043478,0.000147826086956522,0.748460084900897,0.767559657695369,1.05817795442463,0.0668208988624554,0.162017543859649,0.184122807017544,0.213947368421053,0.000192982456140351,0.800994912851936,0.857194222244413,0.802322178646751,0.0872326491857648,Af,1
P01_Af_04,0.00160377358490566,-0.019433962264151,1.00254716981132,0.125981132075472,0.186731979011696,0.168691491803849,0.269139939952487,0.000194257172471453,0.157428571428572,0.12752380952381,0.27152380952381,3.80952380952381e-05,0.843072366403353,0.755958751447237,1.00885736086492,0.196107240780705,0.1625,0.146442307692308,0.212019230769231,3.84615384615385e-05,0.870231231201283,0.868107253818039,0.787765765299123,0.197992887326673,Af,1
P01_An_01,-0.00382113821138211,0.0156910569105691,0.953252032520325,0.126121951219512,0.273422510751363,0.168260538124236,0.438848149425324,0.00232444375808197,0.149262295081967,0.112540983606557,0.328770491803278,0.000811475409836066,0.545903461539416,0.668849540487398,0.749166863831616,0.349105202917735,0.154793388429752,0.119090909090909,0.371074380165289,0.000892561983471075,0.566132568984101,0.707776822887478,0.845564418241742,0.383989494418906,An,2
P01_An_02,-0.0459756097560976,-0.0096341463414634,1.02169512195122,0.130121951219512,0.41342549676221,0.375658911228078,0.706973949421827,0.000481516224165186,0.242222222222223,0.259135802469136,0.583432098765432,9.87654320987655e-05,0.58589086575263,0.689816731944379,0.825252612550393,0.205113404579455,0.28575,0.285,0.686975,0.00015,0.691176529357489,0.758666948877369,0.971711900504705,0.311515983205048,An,2
P01_An_03,0.0383177570093458,0.0723364485981308,1.01785046728972,0.12981308411215,0.401594665597579,0.403502541291599,0.56099310196106,0.000646191179163112,0.253207547169811,0.281603773584906,0.45622641509434,0.000113207547169811,0.630505255325129,0.697898389148929,0.813247816237867,0.175192034215675,0.281047619047619,0.300761904761905,0.542571428571429,0.000152380952380953,0.699829064286539,0.745377969118052,0.967162388761582,0.235814039706179,An,2
P01_An_04,0.0327927927927928,0.0820720720720721,0.985675675675675,0.129621621621622,0.305203869781171,0.232136782237296,0.541779260017183,0.000831800391856059,0.157363636363637,0.135090909090909,0.421272727272727,0.000490909090909091,0.51560170739796,0.581945298754145,0.77757263587271,0.590176556437644,0.170275229357798,0.142385321100917,0.467064220183486,0.000477064220183487,0.557906521565025,0.61336820355926,0.862093207792179,0.573532093581944,An,2
P01_Ha_01,0.00056338028169014,0.0395774647887323,1.00584507042253,0.130323943661972,0.124192567518312,0.148074512771558,0.181495923240253,0.00100034955432892,0.0624113475177304,0.0819148936170212,0.122198581560284,0.000680851063829788,0.502536897053263,0.553200494020167,0.673285544813724,0.680613152555992,0.0701428571428571,0.0984999999999999,0.137928571428572,0.000585714285714286,0.564791102595689,0.66520563300425,0.759954102362895,0.585509618292588,Ha,3
P01_Ha_02,0.0144897959183673,0.0234013605442177,1.00442176870748,0.132843537414966,0.175675540252788,0.215003971287437,0.189013767896374,0.00134317493567931,0.0760958904109589,0.108150684931507,0.127945205479452,0.000479452054794521,0.433161556250011,0.503017150259615,0.676909448996315,0.356954289466428,0.0888275862068965,0.125724137931035,0.147586206896552,0.000606896551724138,0.505634342032354,0.584752631210495,0.780822521761828,0.451837311434942,Ha,3
